country,Arts/Crafts,iso3,description
Afghanistan,Carpet Weaving,AFG,
Albania,Filigree Jewelry,ALB,
Algeria,Pottery,DZA,Kabyle Ceramics
Andorra,Wool Weaving,AND,
Angola,Pottery,AGO,
Antigua and Barbuda,Wood Carving,ATG,
Argentina,Silverwork,ARG,Criollo Style
Armenia,Carpet Weaving,ARM,Armenian Rugs
Australia,Aboriginal Dot Painting,AUS,
Austria,Glassblowing,AUT,Tyrolean Style
Azerbaijan,Carpet Weaving,AZE,Azerbaijani Rugs
Bahamas,Straw Weaving,BHS,Plaiting
Bahrain,Pottery,BHR,
Bangladesh,Nakshi Kantha,BGD,Embroidery
Barbados,Basketry,BRB,Straw Weaving
Belarus,Straw Weaving,BLR,Solomka
Belgium,Lace Making,BEL,
Belize,Basketry,BLZ,
Benin,Bronze Casting,BEN,
Bhutan,Thangka Painting,BTN,
Bolivia,Textiles Weaving,BOL,Alpaca Wool
Bosnia and Herzegovina,Filigree Jewelry,BIH,
Botswana,Basketry,BWA,Grass Weaving
Brazil,Brazilian Embroidery,BRA,Northeast
Brunei,Silverwork,BRN,
Bulgaria,Wood Carving,BGR,
Burkina Faso,Traditional Mask Making,BFA,
Burundi,Basketry,BDI,Bamboo Weaving
Côte d'Ivoire,Mask Making,CIV,
Cape Verde,Pottery,CPV,Traditional
Cambodia,Silk Weaving,KHM,
Cameroon,Traditional Mask Making,CMR,
Canada,Inuit Carving,CAN,Soapstone
Central African Republic,Wood Carving,CAF,
Chad,Pottery,TCD,
Chile,Lapiz Lazuli Carving,CHL,
China,Calligraphy,CHN,
Colombia,Mochila Bags Weaving,COL,
Comoros,Tortoise Shell Carving,COM,
Congo,Pottery,COG,
Costa Rica,Wood Carving,CRI,
Croatia,Lace Making,HRV,
Cuba,Straw Weaving,CUB,
Cyprus,Pottery,CYP,
Czech Republic,Bohemian Glasswork,CZE,
"Congo, the Democratic Republic of the",Traditional Mask Making,COD,
Denmark,Royal Copenhagen Porcelain,DNK,
Djibouti,Pottery,DJI,
Dominica,Carving,DMA,Wood and Stone
Dominican Republic,Larimar Jewelry,DOM,
Ecuador,Panama Hat Weaving,ECU,
Egypt,Papyrus Making,EGY,
El Salvador,Pottery,SLV,
Equatorial Guinea,Wood Carving,GNQ,
Eritrea,Pottery,ERI,
Estonia,Wooden Folk Art,EST,
Swaziland,Basketry,SWZ,Palm Fiber
Ethiopia,Enset Weaving,ETH,
Fiji,Masi,FJI,Bark Cloth Making
Finland,Handicraft,FIN,Kantele Making
France,Tapestry Weaving,FRA,Aubusson
Gabon,Wood Carving,GAB,
Gambia,Basketry,GMB,Raffia
Georgia,Tapestry Weaving,GEO,
Germany,Wood Carving,DEU,Black Forest
Ghana,Kente Cloth Weaving,GHA,
Greece,Ceramic Pottery,GRC,Greek Style
Grenada,Pottery,GRD,
Guatemala,Mayan Textile Weaving,GTM,
Guinea,Pottery,GIN,
Guinea-Bissau,Basketry,GNB,Palm Fiber
Guyana,Wood Carving,GUY,
Haiti,Metalwork,HTI,Recycled Art
Holy See (Vatican City State),Mosaic Art,VAT,
Honduras,Pottery,HND,Copan Style
Hungary,Embroidery,HUN,Traditional
